Year,Length (min),Title,Subject,Actor,Actress,Director,Popularity,Awards,"Filter cells that had ""The"" at end"
1972,92,Napoleon & Samantha,Comedy,Michael Douglas,Jodie Foster,Bernard McEveety,33,No,FALSE
1972,98,Last of the Red Hot Lovers,Comedy,Alan Arkin,Sally Kellerman,Gene Saks,40,No,FALSE
1972,100,Pocket Money,Comedy,Paul Newman,Christine Belford,Stuart Rosenberg,55,No,FALSE
1972,99,Cancel My Reservation,Comedy,Bob Hope,Eva Marie Saint,Paul Bogart,60,No,FALSE
1972,86,Play It Again Sam,Comedy,Woody Allen,Diane Keaton,Herbert Ross,81,No,FALSE
1973,103,Paper Moon,Comedy,Ryan O'Neal,Madeline Kahn,Peter Bogdanovich,3,Yes,FALSE
1973,112,American Graffiti,Comedy,Richard Dreyfuss,Cindy Williams,George Lucas,39,Yes,FALSE
1973,88,Sleeper,Comedy,Woody Allen,Diane Keaton,,59,No,FALSE
1973,103,A Touch of Class,Comedy,George Segal,Glenda Jackson,Melvin Frank,79,Yes,FALSE
1974,60,The Steve Martin  Funnier Side of Eastern Canada,Comedy,Steve Martin,,,34,No,TRUE
1974,89,Monty Python & the Holy Grail,Comedy,Graham Chapman,Connie Booth,Terry Gilliam,83,No,FALSE
1975,103,The Sunshine Boys ,Comedy,George Burns,Lee Meredith,Herbert Ross,35,Yes,TRUE
1975,95,The Great McGonagall ,Comedy,Peter Sellers,,,72,No,TRUE
1975,91,Adventures of Sherlock Holmes' Smarter,Comedy,Gene Wilder,Madeline Kahn,Gene Wilder,42,No,FALSE
1975,109,Shampoo,Comedy,Warren Beatty,Julie Christie,Hal Ashby,69,Yes,FALSE
1975,112,Alice Doesn't Live Here Anymore,Comedy,Kris Kristofferson,Ellen Burstyn,,82,Yes,FALSE
1975,82,Love & Death,Comedy,Woody Allen,Diane Keaton,,84,No,FALSE
1976,109,I Will I Will...For Now,Comedy,Elliott Gould,Diane Keaton,Norman Panama,6,No,FALSE
1976,90,Black & White in Color,Comedy,Jean Carmet,Catherine Rouvel,Jean-Jacques Annaud,24,Yes,FALSE
1976,116,Network,Comedy,Peter Finch,Faye Dunaway,Sidney Lumet,48,Yes,FALSE
1977,110,The Goodbye Girl ,Comedy,Richard Dreyfuss,Marsha Mason,Herbert Ross,6,Yes,TRUE
1977,89,The World's Greatest Lover ,Comedy,Gene Wilder,Carol Kane,Gene Wilder,42,No,TRUE
1977,75,Comedy Tonight,Comedy,Robin Williams,,,18,No,FALSE
1977,94,Annie Hall,Comedy,Woody Allen,Diane Keaton,Woody Allen,68,Yes,FALSE
1977,123,Slap Shot,Comedy,Paul Newman,Lindsay Crouse,George Roy Hill,82,No,FALSE
1978,103,California Suite,Comedy,Michael Caine,Maggie Smith,Herbert Ross,11,Yes,FALSE
1978,88,Silent Movie,Comedy,Mel Brooks,Bernadette Peters,Mel Brooks,27,No,FALSE
1978,112,Foul Play,Comedy,Chevy Chase,Goldie Hawn,Colin Higgins,46,No,FALSE
1978,109,Get Out Your Handkerchiefs,Comedy,Gérard Depardieu,Carole Laure,Bertrand Blier,78,Yes,FALSE
1979,119,The Frisco Kid ,Comedy,Gene Wilder,,Robert Aldrich,10,No,TRUE
1979,108,The Prisoner of Zenda ,Comedy,Peter Sellers,,Richard Quine,12,No,TRUE
1979,94,The Jerk ,Comedy,Steve Martin,Bernadette Peters,Carl Reiner,22,No,TRUE
1979,129,The Being re,Comedy,Peter Sellers,Shirley MacLaine,Hal Ashby,31,Yes,TRUE
1979,113,The Electric Horseman ,Comedy,Robert Redford,Jane Fonda,Sydney Pollack,34,No,TRUE
1979,90,The Fawlty Towers Gourmet Night Waldorf Salad &  Kipper & the Corpse,Comedy,John Cleese,Prunella Scales,,46,No,TRUE
1979,94,Monty Python's Life of Brian,Comedy,Graham Chapman,,Terry Jones,11,No,FALSE
1979,120,Nineteen Forty-One,Comedy,John Belushi,Lorraine Gary,Steven Spielberg,24,No,FALSE
1979,87,Attack of the Killer Tomatoes,Comedy,George Wilson,,Bello John De,47,No,FALSE
1979,121,Ten,Comedy,Dudley Moore,Julie Andrews,Blake Edwards,60,No,FALSE
1979,89,Buffet Froid,Comedy,Gérard Depardieu,Denise Gence,Bertrand Blier,75,No,FALSE
1979,96,Manhattan,Comedy,Woody Allen,Diane Keaton,Woody Allen,82,Yes,FALSE
1980,100,The Fiendish Plot of Dr. Fu Manchu ,Comedy,Peter Sellers,Helen Mirren,Piers Haggard,29,No,TRUE
1980,91,It's My Turn,Comedy,Michael Douglas,Jill Clayburgh,Claudia Weill,0,No,FALSE
1980,109,Wholly Moses!,Comedy,Dudley Moore,Laraine Newman,Gary Weis,25,No,FALSE
1980,111,Stir Crazy,Comedy,Richard Pryor,JoBeth Williams,Sidney Poitier,40,No,FALSE
1980,102,Seems Like Old Times,Comedy,Chevy Chase,Goldie Hawn,Jay Sandrich,49,No,FALSE
1980,110,Private Benjamin,Comedy,Armand Assante,Goldie Hawn,Howard Zieff,61,No,FALSE
1980,86,Pepi Luci Bom,Comedy,Félix Rotaeta,Carmen Maura,Pedro Almodóvar,66,No,FALSE
1980,99,Caddyshack,Comedy,Chevy Chase,Sarah Holcomb,Harold Ramis,70,No,FALSE
1980,123,Mon Oncle D'Amerique,Comedy,Roger-Pierre,,Alain Resnais,71,No,FALSE
1980,97,Marathon,Comedy,Bob Newhart,Leigh Taylor-Young,Jackie Cooper,76,No,FALSE
1981,96,The Cannonball Run ,Comedy,Burt Reynolds,Farrah Fawcett,Hal Needham,80,No,TRUE
1981,117,Time Bandits,Comedy,John Cleese,Shelley Duvall,Terry Gilliam,5,No,FALSE
1981,91,So Fine,Comedy,Ryan O'Neal,Mariangela Melato,Andrew Bergman,17,No,FALSE
1981,88,Going Ape,Comedy,Tony Danza,Jessica Walter,Jeremy Joe Kronsberg,65,No,FALSE
1981,86,Polyester,Comedy,Divine,Edith Massey,,68,No,FALSE
1981,97,Arthur,Comedy,Dudley Moore,Liza Minnelli,Steve Gordon,79,Yes,FALSE
1982,101,The Secret Policeman's Other Ball ,Comedy,John Cleese,,,86,No,TRUE
1982,101,Losin' It,Comedy,Tom Cruise,Shelley Long,Curtis Hanson,4,No,FALSE
1982,116,Tootsie,Comedy,Dustin Hoffman,Teri Garr,Sydney Pollack,8,Yes,FALSE
1982,,Catch a Rising Star Tenth Anniversary,Comedy,Richard Belzer,Pat Benatar,,18,No,FALSE
1982,92,Fast Times at Ridgemont High,Comedy,Sean Penn,Phoebe Cates,Amy Heckerling,65,No,FALSE
1982,92,An Evening with Robin Williams,Comedy,Robin Williams,,Don Mischer,68,No,FALSE
1982,109,Best Friends,Comedy,Burt Reynolds,Goldie Hawn,Norman Jewison,74,No,FALSE
1982,81,Monty Python Live at the Hollywood Bowl,Comedy,Graham Chapman,,Terry Hughes,81,No,FALSE
1983,60,The Best of the Big Laff Off ,Comedy,Eddie Murphy,Sandra Bernhard,,20,No,TRUE
1983,102,The Survivors ,Comedy,Walter Matthau,,Michael Ritchie,52,No,TRUE
1983,118,The Man Who Loved Women ,Comedy,Burt Reynolds,Julie Andrews,Blake Edwards,67,No,TRUE
1983,90,The Man with Two Brains ,Comedy,Steve Martin,Kathleen Turner,Carl Reiner,68,No,TRUE
1983,101,Reuben Reuben,Comedy,Tom Conti,Kelly McGillis,Robert Ellis Miller,2,No,FALSE
1983,69,Eddie Murphy Delirious,Comedy,Eddie Murphy,,Bruce Gower,6,No,FALSE
1983,98,Packin' It In,Comedy,Richard Benjamin,Paula Prentiss,Jud Taylor,8,No,FALSE
1983,90,Blame It on Rio,Comedy,Michael Caine,Michelle Johnson,Stanley Donen,10,No,FALSE
1983,91,Strange Brew,Comedy,Rick Moranis,,,24,No,FALSE
1983,,Hollywood Out-Takes & Rare Footage,Comedy,Humphrey Bogart,Marilyn Monroe,,27,No,FALSE
1983,99,Risky Business,Comedy,Tom Cruise,Rebecca DeMornay,Paul Brickman,28,No,FALSE
1983,50,Father Murphy A Horse from Heaven,Comedy,Merlin Olsen,Katharine Cannon,William F. Claxton,28,No,FALSE
1983,95,Valley Girl,Comedy,Nicolas Cage,Deborah Foreman,Martha Coolidge,30,No,FALSE
1983,107,Monty Python's the Meaning of Life,Comedy,John Cleese,,Terry Jones,33,No,FALSE
1983,97,Yellowbeard,Comedy,Graham Chapman,Madeline Kahn,Mel Damski,34,No,FALSE
1983,98,Lovesick,Comedy,Dudley Moore,Elizabeth McGovern,Marshall Brickman,51,No,FALSE
1983,112,Local Hero,Comedy,Peter Riegert,,Bill Forsyth,54,No,FALSE
1984,102,The Ratings Game ,Comedy,Danny DeVito,Rhea Perlman,Danny DeVito,21,No,TRUE
1984,77,The Secret Policeman's Private Parts ,Comedy,John Cleese,,Roger Graef,36,No,TRUE
1984,90,Johnny Dangerously,Comedy,Joe Piscopo,Marilu Henner,Amy Heckerling,3,No,FALSE
1984,102,No Small Affair,Comedy,Jon Cryer,Demi Moore,Jerry Schatzberg,10,No,FALSE
1984,85,Broadway Danny Rose,Comedy,Woody Allen,Mia Farrow,Woody Allen,14,No,FALSE
1984,105,Beverly Hills Cop,Comedy,Eddie Murphy,Lisa Eilbacher,Martin Brest,41,No,FALSE
1984,96,Soggy Bottom U. S. A.,Comedy,Ben Johnson,Ann Wedgeworth,Theodore J. Flicker,50,No,FALSE
1984,100,Protocol,Comedy,Chris Sarandon,Goldie Hawn,Herbert Ross,53,No,FALSE
1984,140,Tartuffe,Comedy,Gérard Depardieu,Paule Annen,Gérard Depardieu,67,No,FALSE
1984,96,Unfaithfully Yours,Comedy,Dudley Moore,Nastassia Kinski,Howard Zieff,73,No,FALSE
1984,94,Best Defense,Comedy,Dudley Moore,Kate Capshaw,Willard Huyck,75,No,FALSE
1985,104,The Santa Claus  Movie,Comedy,Dudley Moore,,Jeannot Szwarc,19,No,TRUE
1985,84,The Purple Rose of Cairo ,Comedy,Danny Aiello,Mia Farrow,Woody Allen,20,Yes,TRUE
1985,82,The Angelic Conversation ,Comedy,Paul Reynolds,,Derek Jarman,41,No,TRUE
1985,116,Back to the Future,Comedy,Michael J. Fox,Lea Thompson,Robert Zemeckis,9,No,FALSE
1985,130,Prizzi's Honor,Comedy,Jack Nicholson,Kathleen Turner,John Huston,25,Yes,FALSE
1985,104,Desperately Seeking Susan,Comedy,Aidan Quinn,Rosanna Arquette,Susan Seidelman,41,No,FALSE
1985,109,Les Comperes,Comedy,Pierre Richard,,Francis Veber,54,No,FALSE
1985,115,Into the Night,Comedy,Jeff Goldblum,Michelle Pfeiffer,John Landis,62,No,FALSE
1985,97,One Woman or Two,Comedy,Gérard Depardieu,Sigourney Weaver,Daniel Vigne,64,No,FALSE
1985,55,Rowlf's Rhapsodies with the Muppets,Comedy,George Burns,Marisa Berenson,,79,No,FALSE
1985,97,After Hours,Comedy,Griffin Dunne,Rosanna Arquette,Martin Scorsese,81,No,FALSE
1985,90,Fantasy Man,Comedy,Harold Hopkins,Jeanie Drynan,John Meagher,82,No,FALSE
1985,94,My Science Project,Comedy,John Stockwell,Zerneck Danielle Von,Jonathan Betnel,84,No,FALSE
1985,56,Fozzie's Muppet Scrapbook,Comedy,Milton Berle,Beverly Sills,,86,No,FALSE
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,John Cleese,Julie Andrews,,88,No,FALSE
1986,71,The Paramount Comedy ater: Well-Developed,Comedy,Bruce Mahler,Judy Carter,,40,No,TRUE
1986,82,The Whoopee Boys ,Comedy,Michael O'Keefe,Carole Shelley,John Byrum,54,No,TRUE
1986,49,The Jay Leno:  American Dream,Comedy,Jay Leno,,,67,No,TRUE
1986,93,The Golden Child ,Comedy,Eddie Murphy,Charlotte Lewis,Michael Ritchie,86,No,TRUE
1986,104,The Best of Times ,Comedy,Robin Williams,Pamela Reed,Roger Spottiswoode,88,No,TRUE
1986,60,Steve Martin Live!,Comedy,Steve Martin,,,3,No,FALSE
1986,60,Monty Python's Flying Circus,Comedy,Graham Chapman,,,4,No,FALSE
1986,84,Police Academy 3: Back in Training,Comedy,Steve Guttenberg,Marion Ramsey,Jerry Paris,6,No,FALSE
1986,103,Hannah & Her Sisters,Comedy,Michael Caine,Mia Farrow,Woody Allen,8,Yes,FALSE
1986,91,Mr Love.,Comedy,Barry Jackson,Margaret Tyzack,Roy Battersby,10,No,FALSE
1986,96,Clockwise,Comedy,John Cleese,Alison Steadman,Christopher Morahan,10,No,FALSE
1986,98,Summer,Comedy,Vincent Gauthier,Marie Riviere,Eric Rohmer,11,No,FALSE
1986,107,Sweet Liberty,Comedy,Alan Alda,Michelle Pfeiffer,Alan Alda,12,No,FALSE
1986,103,Ferris Bueller's Day Off,Comedy,Matthew Broderick,Mia Sara,John Hughes,12,No,FALSE
1986,91,Wise Guys,Comedy,Joe Piscopo,,Palma Brian De,16,No,FALSE
1986,88,Running Out of Luck,Comedy,Mick Jagger,Rae Dawn Chong,,16,No,FALSE
1986,106,Wildcats,Comedy,James Keach,Goldie Hawn,Michael Ritchie,22,No,FALSE
1986,60,Monty Python's Flying Circus Vol 1.,Comedy,Graham Chapman,,,24,No,FALSE
1986,84,Stewardess School,Comedy,Donald Most,Judy Landers,Ken Blancato,28,No,FALSE
1986,90,French Lesson,Comedy,Alexandre Sterling,Jane Snowden,Brian Gilbert,29,No,FALSE
1986,,Matador,Comedy,Antonio Banderas,Carmen Maura,Pedro Almodóvar,34,No,FALSE
1986,112,From the Hip,Comedy,Judd Nelson,Elizabeth Perkins,Bob Clark,36,No,FALSE
1986,87,Monster in the Closet,Comedy,Donald Grant,Denise DuBarry,Bob Dahlin,39,No,FALSE
1986,116,Legal Eagles,Comedy,Robert Redford,Debra Winger,Ivan Reitman,39,No,FALSE
1986,99,Critical Condition,Comedy,Richard Pryor,Rachel Ticotin,Michael Apted,41,No,FALSE
1986,89,Water,Comedy,Michael Caine,Valerie Perrine,Dick Clement,47,No,FALSE
1986,88,Seven Minutes in Heaven,Comedy,Byron Thames,Jennifer Connelly,Linda Feferman,49,No,FALSE
1986,107,Down by Law,Comedy,Tom Waits,,Jim Jarmusch,49,No,FALSE
1986,108,Nobody's Fool,Comedy,Eric Roberts,Rosanna Arquette,Evelyn Purcell,52,No,FALSE
1986,108,Heartburn,Comedy,Jack Nicholson,Meryl Streep,Mike Nichols,57,No,FALSE
1986,111,Gung Ho,Comedy,Michael Keaton,Mimi Rogers,Ron Howard,59,No,FALSE
1986,94,One Crazy Summer,Comedy,John Cusack,Demi Moore,Savage Steve Holland,61,No,FALSE
1986,58,Monty Python's Flying Circus Vol 3.,Comedy,Graham Chapman,,,63,No,FALSE
1986,52,Howie Mandel's North American Watusi Tour,Comedy,Howie Mandel,,,65,No,FALSE
1986,98,Crocodile Dundee,Comedy,Paul Hogan,Linda Kozlowski,Peter Faiman,66,No,FALSE
1986,120,Comic Relief,Comedy,Billy Crystal,Whoopi Goldberg,,69,No,FALSE
1986,89,True Stories,Comedy,John Goodman,Swoosie Kurtz,David Byrne,79,No,FALSE
1986,59,Monty Python's Flying Circus Vol 2.,Comedy,Graham Chapman,,,79,No,FALSE
1986,93,Ruthless People,Comedy,Danny DeVito,Helen Slater,Jim Abrahams,84,No,FALSE
1986,105,Crimes of the Heart,Comedy,Sam Shepard,Diane Keaton,Bruce Beresford,84,No,FALSE
1986,90,Head Office,Comedy,Judge Reinhold,Jane Seymour,Ken Finkleman,88,No,FALSE
1987,110,The Secret of My Success ,Comedy,Michael J. Fox,Helen Slater,Herbert Ross,5,No,TRUE
1987,119,The Witches of Eastwick ,Comedy,Jack Nicholson,Cher,George Miller,8,No,TRUE
1987,95,The Allnighter ,Comedy,John Terlesky,Susanna Hoffs,Tamar Simon Hoffs,71,No,TRUE
1987,109,O. C. & Stiggs,Comedy,Daniel H. Jenkins,Jane Curtin,Robert Altman,3,No,FALSE
1987,94,Rita Sue & Bob Too,Comedy,Siohban Finneran,Michelle Holmes,Alan Clarke,5,No,FALSE
1987,103,Moonstruck,Comedy,Nicholas Cage,Cher,Norman Jewison,6,Yes,FALSE
1987,112,Overboard,Comedy,Kurt Russell,Goldie Hawn,Garry Marshall,6,No,FALSE
1987,95,Blind Date,Comedy,Bruce Willis,Kim Basinger,Blake Edwards,7,No,FALSE
1987,95,Bullseye!,Comedy,Michael Caine,Sally Kirkland,Michael Winner,8,No,FALSE
1987,115,Stakeout,Comedy,Richard Dreyfuss,Madeleine Stowe,John Badham,13,No,FALSE
1987,60,Joe Piscopo New Jersey Special,Comedy,Joe Piscopo,,,14,No,FALSE
1987,89,Business As Usual,Comedy,John Thaw,Glenda Jackson,Lezli-An Barrett,17,No,FALSE
1987,101,Like Father Like Son,Comedy,Kirk Cameron,Margaret Colin,Rod Daniel,20,No,FALSE
1987,101,My Life As a Dog,Comedy,Anton Glanzelius,Melinda Kinnaman,Lasse Hallström,21,No,FALSE
1987,94,Raising Arizona,Comedy,Nicolas Cage,Holly Hunter,Joel Coen,23,No,FALSE
1987,,Mannequin,Comedy,Andrew McCarthy,Kim Cattrall,Michael Gottlieb,23,No,FALSE
1987,120,Good Morning Vietnam,Comedy,Robin Williams,,Barry Levinson,37,No,FALSE
1987,103,Beverly Hills Cop II,Comedy,Eddie Murphy,Brigitte Nielsen,Tony Scott,37,No,FALSE
1987,102,Burglar,Comedy,Bob Goldthwait,Whoopi Goldberg,Hugh Wilson,44,No,FALSE
1987,92,Back to the Beach,Comedy,Frankie Avalon,Annette Funicello,Lyndall Hobbs,45,No,FALSE
1987,91,Young Love: Lemon Popsicle Seven,Comedy,Yftach Katzur,Zachi Noy,Walter Bennett,47,No,FALSE
1987,112,Tin Men,Comedy,Richard Dreyfuss,Barbara Hershey,Barry Levinson,50,No,FALSE
1987,90,Eddie Murphy Raw,Comedy,Eddie Murphy,,Eddie Murphy,51,No,FALSE
1987,91,Firehouse,Comedy,Barrett Hopkins,Violet Brown,J. Christian Ingvordsen,66,No,FALSE
1987,107,Roxanne,Comedy,Steve Martin,Daryl Hannah,Fred Schepisi,66,No,FALSE
1987,86,Disorderlies,Comedy,The Fat Boys,,Michael Schultz,69,No,FALSE
1987,93,Planes Trains & Automobiles,Comedy,Steve Martin,Laila Robbins,John Hughes,73,No,FALSE
1987,95,Surrender,Comedy,Michael Caine,Sally Field,Jerry Belson,84,No,FALSE
1988,81,The Smallest Show on Earth ,Comedy,Peter Sellers,Margaret Rutherford,Basil Dearden,24,No,TRUE
1988,121,The Accidental Tourist ,Comedy,William Hurt,Kathleen Turner,,56,Yes,TRUE
1988,94,The Experts ,Comedy,John Travolta,Kelly Preston,Dave Thomas,67,No,TRUE
1988,99,Tokyo Pop,Comedy,Yutaka Tadokoro,Carrie Hamilton,Fran Rubel Kuzui,2,No,FALSE
1988,98,Plain Clothes,Comedy,Arliss Howard,Diane Ladd,Martha Coolidge,4,No,FALSE
1988,97,Crossing Delancey,Comedy,Peter Riegert,Amy Irving,Joan Micklin Silver,6,No,FALSE
1988,108,A Fish Called Wanda,Comedy,John Cleese,Jamie Lee Curtis,Charles Crichton,7,Yes,FALSE
1988,90,Naked Gun: From the Files of Police Squad! THe,Comedy,Leslie Nielsen,Priscilla Presley,David Zucker,9,No,FALSE
1988,116,Coming to America,Comedy,Eddie Murphy,Madge Sinclair,John Landis,11,No,FALSE
1988,101,Scrooged,Comedy,Bill Murray,Karen Allen,Richard Donner,15,No,FALSE
1988,90,Big Top Pee-wee,Comedy,Paul Reubens,Penelope Ann Miller,Randal Kleiser,17,No,FALSE
1988,106,She's Having a Baby,Comedy,Kevin Bacon Hughes,Elizabeth McGovern,,18,No,FALSE
1988,107,Twins,Comedy,Arnold Schwarzenegger,Kelly Preston,Ivan Reitman,23,No,FALSE
1988,115,Working Girl,Comedy,Harrison Ford,Melanie Griffith,Mike Nichols,25,No,FALSE
1988,101,Funny Farm,Comedy,Chevy Chase,Madolyn Smith,George Roy Hill,30,No,FALSE
1988,98,Caddyshack 2,Comedy,Jackie Mason,Dina Merrill,Allan Arkush,34,No,FALSE
1988,85,Doin' Time on Planet Earth,Comedy,Nocholas Strouse,Andrea Thompson,Charles Matthau,44,Yes,FALSE
1988,83,Nadine,Comedy,Jeff Bridges,Kim Basinger,Robert Benton,47,No,FALSE
1988,104,A New Life,Comedy,Alan Alda,Ann-Margret,Alan Alda,53,No,FALSE
1988,90,Cannibal Women in the Avocado Jungle of Death,Comedy,Barry Primus,Shannon Tweed,J.F. Lawton,56,No,FALSE
1988,90,Police Academy 5: Assignment Miami Beach,Comedy,George Gaynes,Marion Ramsey,Alan Myerson,59,No,FALSE
1988,96,Baja Oklahoma,Comedy,Peter Coyote,Lesley Ann Warren,Bobby Roth,71,No,FALSE
1988,101,Mystic Pizza,Comedy,William Moses,Lili Taylor,Donald Petrie,74,No,FALSE
1988,89,Salome's Last Dance,Comedy,Stratford Johns,Glenda Jackson,Ken Russell,76,No,FALSE
1988,83,Hot to Trot,Comedy,Bob Goldthwait,Virginia Madsen,Michael Dinner,78,No,FALSE
1988,94,Her Alibi,Comedy,Tom Selleck,Paulina Porizkova,Bruce Beresford,80,No,FALSE
1989,90,The Van ,Comedy,Danny DeVito,,,5,No,TRUE
1989,94,The Wrong Arm of the Law ,Comedy,Peter Sellers,,Cliff Owen,25,No,TRUE
1989,101,The Burbs ,Comedy,Tom Hanks,Carrie Fisher,Joe Dante,42,No,TRUE
1989,,The Best of Eddie Murphy Saturday Night Live ,Comedy,Eddie Murphy,,,56,No,TRUE
1989,55,Will Rogers Look Back in Laughter,Comedy,Robin Williams,,Malcolm Leo,6,No,FALSE
1989,104,Married to the Mob,Comedy,Matthew Modine,Michelle Pfeiffer,Jonathan Demme,8,No,FALSE
1989,118,Harlem Nights,Comedy,Eddie Murphy,,Eddie Murphy,11,No,FALSE
1989,122,Pink Cadillac,Comedy,Clint Eastwood,Bernadette Peters,Clint Eastwood,12,No,FALSE
1989,91,Penn & Teller Get Killed,Comedy,Jillette Penn,Caitlin Clarke,Arthur Penn,12,No,FALSE
1989,60,Minsky's Follies,Comedy,Rip Taylor,Phyllis Diller,,12,No,FALSE
1989,105,Hideaways,Comedy,Bruce Conover,Ingrid Bergman,,16,No,FALSE
1989,114,School Daze,Comedy,Larry Fishburne,Tisha Campbell,Spike Lee,18,No,FALSE
1989,110,Cousins,Comedy,Ted Danson,Isabella Rossellini,,28,No,FALSE
1989,84,Police Academy 6: City under Siege,Comedy,Bubba Smith,Marion Ramsey,Peter Bonerz,29,No,FALSE
1989,93,Cookie,Comedy,Peter Falk,Dianne Wiest,Susan Seidelman,43,No,FALSE
1989,99,She-Devil,Comedy,Ed Jr. Begley,Meryl Streep,Susan Seidelman,43,No,FALSE
1989,91,Young Einstein,Comedy,Yahoo Serious,Pee-Wee Wilson,Yahoo Serious,47,No,FALSE
1989,103,Vampire's Kiss,Comedy,Nicolas Cage,Jennifer Beals,,49,No,FALSE
1989,108,Shirley Valentine,Comedy,Tom Conti,Pauline Collins,Lewis Gilbert,51,No,FALSE
1989,110,We're No Angels,Comedy,Robert De Niro,Demi Moore,Neil Jordan,51,No,FALSE
1989,,High Spirits,Comedy,Peter O'Toole,Daryl Hannah,Neil Jordan,53,No,FALSE
1989,107,Major League,Comedy,Charlie Sheen,Margaret Whitton,David S. Ward,64,No,FALSE
1989,88,Women on the Verge of a Nervous Breakdown,Comedy,Antonio Banderas,Carmen Maura,Pedro Almodóvar,65,No,FALSE
1989,116,Back to the Future II,Comedy,Michael J. Fox,,,65,No,FALSE
1989,114,Once Around,Comedy,Richard Dreyfuss,Holly Hunter,Lasse Hallström,68,No,FALSE
1989,97,National Lampoon's Christmas Vacation,Comedy,Chevy Chase,Beverly D'Angelo,Jeremiah S,81,No,FALSE
1989,90,New Year's Day,Comedy,Henry Jaglom,Maggie Jakobsen,Henry Jaglom,88,No,FALSE
1989,86,Let It Ride,Comedy,Richard Dreyfuss,Teri Garr,Joe Pytka,88,No,FALSE
1990,56,The Best of Candid Camera ,Comedy,Woody Allen,Angie Dickinson,,12,No,TRUE
1990,,The Party ,Comedy,Peter Sellers,Marge Champion,Blake Edwards,32,No,TRUE
1990,107,The Gremlins 2:  New Batch,Comedy,Zach Galligan,Phoebe Cates,Joe Dante,61,No,TRUE
1990,97,The Novice ,Comedy,Omar Sharif,Arielle Dombasle,,72,No,TRUE
1990,89,A Chorus of Disapproval,Comedy,Jeremy Irons,Alexandra Pigg,Michael Winner,0,No,FALSE
1990,60,Live at Harrah's,Comedy,Bill Cosby,,,6,No,FALSE
1990,98,Almost an Angel,Comedy,Paul Hogan,Linda Kozlowski,John Cornell,14,No,FALSE
1990,102,Joe Versus the Volcano,Comedy,Tom Hanks,Meg Ryan,John Patrick,17,No,FALSE
1990,110,Modern Love,Comedy,Robby Benson,Rue McClanahan,,18,No,FALSE
1990,108,Flashback,Comedy,Dennis Hopper,Carol Kane,Franco Amurri,19,No,FALSE
1990,106,Alice,Comedy,Alec Baldwin,Blythe Danner,Woody Allen,22,No,FALSE
1990,110,Mystery Train,Comedy,Masatoshi Nagase,Youki Kudoh,Jim Jarmusch,23,No,FALSE
1990,89,Quick Change,Comedy,Bill Murray,Geena Davis,Howard  Franklin,24,No,FALSE
1990,107,Green Card,Comedy,Gérard Depardieu,Andie MacDowell,Peter Weir,25,No,FALSE
1990,83,U S. Sub Standard.,Comedy,Bill Pullman,Wendy Schaal,,27,No,FALSE
1990,97,Cadillac Man,Comedy,Robin Williams,Pamela Reed,Roger Donaldson,28,No,FALSE
1990,98,Welcome Home Roxy Carmichael,Comedy,Jeff Daniels,Winona Ryder,Jim Abrahams,41,No,FALSE
1990,119,Pretty Woman,Comedy,Richard Gere,Julia Roberts,Garry Marshall,43,No,FALSE
1990,101,Funny about Love,Comedy,Gene Wilder,Christine Lahti,Leonard Nimoy,60,No,FALSE
1990,,Crazy People,Comedy,Dudley Moore,Daryl Hannah,Tony Bill,61,No,FALSE
1990,101,Postcards from the Edge,Comedy,Dennis Quaid,Shirley MacLaine,Mike Nichols,63,No,FALSE
1990,96,My Blue Heaven,Comedy,Steve Martin,,Herbert Ross,63,No,FALSE
1990,111,Tie Me Up! Tie Me Down!,Comedy,Antonio Banderas,Victoria Abril,Pedro Almodóvar,68,No,FALSE
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy,Jake Dengel,Suzanne Fletcher,Alan Smithey,79,No,FALSE
1990,,Valkenvania,Comedy,Chevy Chase,,,82,No,FALSE
1990,105,Dick Tracy,Comedy,Warren Beatty,Glenne Headley,Warren Beatty,84,No,FALSE
1991,90,The Basil  Rat,Comedy,John Cleese,Prunella Scales,,9,No,TRUE
1991,113,The Philadelphia Story ,Comedy,Spencer Tracy,Katharine Hepburn,,25,No,TRUE
1991,102,The Freshman ,Comedy,Marlon Brando,,Andrew Bergman,32,No,TRUE
1991,117,The Courtship of Eddie's Father ,Comedy,Ron Howard,Shirley Jones,,43,No,TRUE
1991,60,The Joe Piscopo Video ,Comedy,Joe Piscopo,,,44,No,TRUE
1991,92,The Spencer Tracy Legacy ,Comedy,Spencer Tracy,,,44,No,TRUE
1991,101,The Magic Christian ,Comedy,Peter Sellers,,,75,No,TRUE
1991,121,The Pink Panther ,Comedy,Peter Sellers,,,77,No,TRUE
1991,116,The Marrying Man ,Comedy,Alec Baldwin,Kim Basinger,Jerry Rees,84,No,TRUE
1991,160,The Great Race ,Comedy,Dudley Moore,Natalie Wood,Blake Edwards,88,No,TRUE
1991,102,Curly Sue,Comedy,Jim Belushi,Kelly Lynch,John Hughes,2,No,FALSE
1991,83,Strictly Business,Comedy,Tommy Davidson,Anne-Marie Johnson,Kevin Hooks,3,No,FALSE
1991,65,Robin Williams,Comedy,Robin Williams,,,4,No,FALSE
1991,119,New York Stories,Comedy,Woody Allen,Mae Questel,Francis Ford Coppola,6,No,FALSE
